Zipcode,White,Black,Indian American,Asian,Hawaiian,Other Races,Two Races,Hispanic
60007,"26,268",450,44,"3,349",4,24,463,"3,218"
60018,"16,296",351,48,"2,723",5,48,404,"10,224"
60068,"33,737",168,19,"1,373",4,36,362,"1,776"
60106,"9,338",606,35,914,3,41,202,"9,170"
60131,"9,473",166,25,530,1,13,108,"7,781"
60176,"7,937",189,21,691,0,23,91,"2,843"
60601,"7,024",736,21,"2,247",5,40,281,756
60602,792,129,1,157,0,2,29,94
60603,336,14,0,103,1,1,9,29
60604,399,42,0,77,0,0,11,41
60605,"14,613","4,505",31,"3,238",9,58,616,"1,598"
60606,"1,739",94,1,317,0,7,38,112
60607,"13,373","3,850",30,"4,263",12,55,533,"1,781"
60608,"13,628","14,628",109,"7,313",11,82,679,"46,289"
60609,"9,130","18,332",81,"2,314",13,72,475,"34,489"
60610,"26,063","6,775",40,"2,467",11,74,530,"1,766"
60611,"21,421","1,213",19,"4,068",12,52,537,"1,396"
60612,"6,513","20,415",50,"1,616",11,39,509,"4,319"
60613,"36,011","3,631",78,"2,769",20,86,854,"4,832"
60614,"55,431","2,548",58,"3,473",21,118,"1,209","3,759"
60615,"9,931","24,895",52,"2,755",3,112,"1,155","1,700"
60616,"11,608","12,447",50,"19,250",6,63,776,"4,233"
60617,"5,635","46,641",145,180,24,101,762,"30,667"
60618,"40,088","2,559",176,"4,741",18,226,"1,505","42,771"
60619,331,"61,811",135,44,8,55,730,711
60620,248,"70,531",99,50,4,34,578,672
60621,132,"34,957",69,37,8,20,294,395
60622,"30,367","3,860",59,"1,910",16,112,935,"15,289"
60623,"1,653","30,369",112,108,2,110,316,"59,438"
60624,509,"35,987",45,43,2,24,335,"1,160"
60625,"33,905","3,297",165,"10,847",39,229,"1,865","28,304"
60626,"20,679","12,621",125,"3,565",34,164,"1,406","11,545"
60628,841,"68,020",125,45,9,59,699,"2,404"
60629,"10,534","25,543",105,540,6,137,476,"76,575"
60630,"32,721",599,123,"5,674",18,108,"1,074","13,776"
60631,"24,593",111,19,842,3,24,336,"2,713"
60632,"9,816","1,485",82,"2,748",8,70,215,"76,902"
60633,"4,728","2,954",32,55,0,11,121,"5,026"
60634,"44,648",745,76,"3,046",11,93,767,"24,912"
60636,183,"39,131",78,37,0,29,358,"1,100"
60637,"6,665","38,652",68,"1,919",2,70,932,"1,195"
60638,"30,819","1,975",52,445,3,49,328,"21,355"
60639,"6,442","13,712",98,916,16,144,440,"68,639"
60640,"34,381","11,628",223,"7,923",14,179,"1,519","9,923"
60641,"28,092","1,552",134,"2,814",11,133,870,"38,057"
60642,0,317,"2,672","1,092",255,469,570,524
60643,"10,706","36,981",38,170,21,59,675,"1,302"
60644,861,"45,559",82,163,5,17,378,"1,583"
60645,"20,425","6,573",118,"7,313",5,143,"1,168","9,529"
60646,"20,706",202,55,"2,492",3,32,566,"3,121"
60647,"30,825","5,237",127,"2,043",34,190,"1,138","47,697"
60649,713,"44,188",121,115,3,78,611,821
60651,"1,769","39,973",80,204,21,58,406,"21,756"
60652,"6,389","18,525",47,288,0,25,375,"15,310"
60653,717,"27,835",62,177,7,41,484,585
60654,"10,966","1,061",23,"1,636",2,38,284,865
60655,"24,075","2,155",46,166,3,9,234,"1,862"
60656,"21,822",447,31,"1,876",2,38,378,"3,019"
60657,"54,304","1,804",69,"3,868",27,90,"1,245","4,589"
60659,"14,622","3,240",95,"10,853",14,157,"1,114","8,009"
60660,"21,929","6,556",68,"5,376",9,109,"1,022","7,683"
60661,"4,611",513,15,"1,921",3,46,226,457
60706,"19,445",116,22,"1,181",2,19,207,"2,142"
60707,"24,360","3,234",43,"1,130",2,57,436,"13,658"
60714,"21,407",390,20,"4,983",1,44,487,"2,599"
60804,"7,757","2,708",56,478,26,90,258,"73,200"
60827,866,"25,830",37,39,2,21,245,906
